dtype,family,maximum,minimum,missing,mode_fraction,model_utility,name,positive_gain_fold_fraction,status,unique_values,univariate_utility,definition,availability,final_selected,final_reason,correlation_clicks,correlation_carts,correlation_orders,duplicate_of,correlation,redundant_with
float32,graph,2251.002685546875,0.0,0,0.6809827767002002,0.0002901454229279703,graph_cart_all_n20_uniform_std,1.0,capacity,156460,0.021773191113244453,"std of cart graph affinity from last 20 observed events restricted to all, with uniform weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.015509824277816367,0.032040929225774416,0.017683216529550818,,,
float32,graph,19389.892578125,0.0,0,0.4247577395902438,1.6345578521105967e-05,graph_cart_all_n20_position_sum,0.6666666666666666,redundant,271422,0.02359925014869631,"sum of cart graph affinity from last 20 observed events restricted to all, with position weights; missing edges zero",fixed historical cutoff and observed prefix,False,redundant,0.018922422938480156,0.04089868140614459,0.015729005721674866,,0.9992368427909581,source_cart_score
float32,graph,4528.05419921875,0.0,0,0.4247577395902438,4.173936978378481e-05,graph_cart_all_n20_position_max,0.6666666666666666,capacity,259492,0.019323125784080547,"max of cart graph affinity from last 20 observed events restricted to all, with position weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.022222373087328016,0.030231329002501365,0.013385816290995561,,,
float32,graph,4528.05419921875,0.0,0,0.4247577395902438,4.173671568647239e-05,graph_cart_all_n20_position_mean,1.0,capacity,274050,0.014324130884223981,"mean of cart graph affinity from last 20 observed events restricted to all, with position weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.021332742725473273,0.024564376016328857,0.008035906344629997,,,
float32,graph,2246.4072265625,0.0,0,0.667714629785628,3.76825878417418e-05,graph_cart_all_n20_position_std,0.6666666666666666,capacity,158285,0.022117943627314535,"std of cart graph affinity from last 20 observed events restricted to all, with position weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.016054641520610643,0.03342547514704618,0.017474728218566028,,,
float32,graph,47055.72265625,0.0,0,0.4247577395902438,5.6430482906179834e-05,graph_cart_all_n20_hour_sum,1.0,capacity,274983,0.02529306101354231,"sum of cart graph affinity from last 20 observed events restricted to all, with hour weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.01692261991788926,0.04461198823713756,0.017028670917686863,,,
float32,graph,4528.05419921875,0.0,0,0.4247577395902438,7.701824654407906e-06,graph_cart_all_n20_hour_max,0.6666666666666666,capacity,265571,0.024368467196220694,"max of cart graph affinity from last 20 observed events restricted to all, with hour weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.022917858005817356,0.03678599731486894,0.01840147033529713,,,
float32,graph,4528.0546875,0.0,0,0.4247577395902438,1.986989369517397e-05,graph_cart_all_n20_hour_mean,1.0,redundant,276521,0.015145107834642327,"mean of cart graph affinity from last 20 observed events restricted to all, with hour weights; missing edges zero",fixed historical cutoff and observed prefix,False,redundant,0.021679899688439946,0.02643897534371365,0.008409042104473732,,0.9992347257416668,graph_cart_all_n20_six_hours_mean
float32,graph,2261.66650390625,0.0,0,0.6773077723715158,1.8433165886197168e-05,graph_cart_all_n20_hour_std,0.6666666666666666,capacity,159345,0.023278972349645224,"std of cart graph affinity from last 20 observed events restricted to all, with hour weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.016974700197170487,0.035095854648653085,0.01842124322555375,,,
float32,graph,49360.390625,0.0,0,0.4247577395902438,2.3297101659410068e-05,graph_cart_all_n20_six_hours_sum,1.0,capacity,274943,0.02463293593140849,"sum of cart graph affinity from last 20 observed events restricted to all, with six_hours weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.015791428792735235,0.042920097589186294,0.0169629396256318,,,
float32,graph,4528.05419921875,0.0,0,0.4247577395902438,8.250220337583467e-06,graph_cart_all_n20_six_hours_max,0.6666666666666666,capacity,265434,0.024436549268819427,"max of cart graph affinity from last 20 observed events restricted to all, with six_hours weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.02202050159547914,0.03643310667750559,0.018840945176699726,,,
float32,graph,4528.0546875,0.0,0,0.4247577395902438,0.000767070508070304,graph_cart_all_n20_six_hours_mean,1.0,retained,276835,0.01484410498611042,"mean of cart graph affinity from last 20 observed events restricted to all, with six_hours weights; missing edges zero",fixed historical cutoff and observed prefix,True,selected,0.021456471798554876,0.026096213613204036,0.008115989537156202,,,
float32,graph,2251.37744140625,0.0,0,0.6737183689906675,3.6049841699620836e-05,graph_cart_all_n20_six_hours_std,0.6666666666666666,capacity,160944,0.022613356443877013,"std of cart graph affinity from last 20 observed events restricted to all, with six_hours weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.016181841058516996,0.03385367800822294,0.01806511489259739,,,
